task_name,dataset_id,error_rate_bin,cleaning_method,cluster_method,Silhouette Score,Davies-Bouldin Score,Combined Score,alpha,H_alpha
hospital,30,5,GroundTruth,KMEANSNF,0.302106284594606,1.01899565114832,0.558043508720911,0.75,0.6035991625730661
hospital,30,5,GroundTruth,GMM,0.327458033629477,0.975320347624405,0.569787551195372,0.75,0.6158358575085988
hospital,30,5,GroundTruth,HC,0.602483264623591,0.297695800765916,0.784702467910618,0.75,0.7933541251066107
hospital,30,5,GroundTruth,KMEANS,0.335248312653257,0.994750884760798,0.56779246876387,0.75,0.6164945808042043
hospital,30,5,GroundTruth,KMEANSPPS,0.34272512320206,0.94324927822043,0.578037708265497,0.75,0.6238523362441936
hospital,30,5,GroundTruth,DBSCAN,0.242159967502909,1.69346159381856,0.457816558560225,0.75,0.5316492574495326
hospital,37,10,mode,KMEANSNF,0.13699639500421,1.34659578978909,0.482990192172128,0.75,0.5246825509854388
hospital,37,10,mode,GMM,0.193255239098646,1.48158098628326,0.475511406802938,0.75,0.5326343035631772
hospital,37,10,mode,HC,0.535408879120375,0.433984294552732,0.728742693950876,0.75,0.7488199293221283
hospital,37,10,mode,KMEANS,0.201533744161818,1.67181763987937,0.454876942731396,0.75,0.5218229490354518
hospital,37,10,mode,KMEANSPPS,0.15706311714089,1.74639388955063,0.440918969246156,0.75,0.5042904771411664
hospital,37,10,mode,DBSCAN,-0.0283580886889141,2.11311425078549,0.382060699161872,0.75,0.4306526176147131
hospital,37,10,bigdansing,KMEANSNF,0.156558846088295,1.36119376097711,0.484451863588112,0.75,0.5298717002164965
hospital,37,10,bigdansing,GMM,0.183367864205098,1.474892826647,0.474825642886863,0.75,0.5301406562265821
hospital,37,10,bigdansing,HC,0.337421492661848,0.389862657219367,0.694699070184049,0.75,0.6807227640918282
hospital,37,10,bigdansing,KMEANS,0.183582194053854,1.47773297584687,0.474518892902536,0.75,0.530005646882281
hospital,37,10,bigdansing,KMEANSPPS,0.188310139504538,1.35735405915857,0.490091109147579,0.75,0.5400631708236796
hospital,37,10,bigdansing,DBSCAN,-0.0029337008935216,2.06996903010074,0.38912786416536,0.75,0.44015910300328465
hospital,37,10,boostclean,KMEANSNF,0.219181668846491,1.14360909579756,0.524350361899725,0.75,0.5661758400893422
hospital,37,10,boostclean,GMM,0.288029316046163,1.02905192615352,0.553956905289701,0.75,0.5981459575401895
hospital,37,10,boostclean,HC,0.481472144800935,0.377266018900519,0.73289335902563,0.75,0.7370158702830315
hospital,37,10,boostclean,KMEANS,0.256872287931892,1.00966581903816,0.55156859666896,0.75,0.5896730100888582
