alpha,task_name,cleaning_method,median_H,mean_H,n_rows
0.5,flights,Unified,0.584299341329847,0.5866810145713872,90
0.5,flights,baran,0.5968794126735792,0.6030451731538647,90
0.5,flights,bigdansing,0.5947330495323755,0.5899183499865305,90
0.5,flights,boostclean,0.5502842007747915,0.5496140617613788,90
0.5,flights,holoclean,0.6148987515970166,0.6098443517822654,84
0.5,flights,horizon,0.6401089624019451,0.6499599654979358,90
0.5,flights,mode,0.6680025837161074,0.68135915728689,90
0.5,flights,scared,0.555652667706622,0.5547398467188204,89
0.5,hospital,GroundTruth,0.5710696522585794,0.5863048492644013,90
0.5,hospital,Unified,0.45311736553346726,0.4797561102032067,82
0.5,hospital,baran,0.5339718093570704,0.5566428980676811,90
0.5,hospital,bigdansing,0.4698980760055733,0.4858515371072505,88
0.5,hospital,boostclean,0.44756651365684946,0.47363466877404414,79
0.5,hospital,holoclean,0.4572898550125798,0.48786964738100785,54
0.5,hospital,horizon,0.5075928636422207,0.5187059535985623,90
0.5,hospital,mode,0.4373522285367514,0.4652767191496018,90
0.5,hospital,scared,0.4530894296724793,0.48138211534421366,79
0.5,rayyan,GroundTruth,0.7512782290075446,0.7159967545339126,90
0.5,rayyan,Unified,0.7052460082056731,0.6796875486774853,90
0.5,rayyan,baran,0.7324180265473292,0.6843039065773915,90
0.5,rayyan,bigdansing,0.7649818639797363,0.7272006253436639,90
0.5,rayyan,holoclean,0.6334444676397748,0.6518608152707416,90
0.5,rayyan,horizon,0.7390050059041275,0.7076023760480834,89
0.5,rayyan,mode,0.6257017146819621,0.6503827859238629,90
0.5,rayyan,scared,0.7073872980324374,0.6919876245449562,89
0.75,beers,GroundTruth,0.5678827418063623,0.5897848135948732,90
0.75,beers,Unified,0.5944283739801366,0.6122961836519951,90
0.75,beers,baran,0.610971430189416,0.6288131134997909,90
0.75,beers,bigdansing,0.5936887757973788,0.6066541243374339,90
0.75,beers,boostclean,0.5845304096924006,0.5982727002823126,90
0.75,beers,holoclean,0.5916386048896808,0.6103961367083296,78
0.75,beers,horizon,0.5933906102585569,0.6152569477753976,90
0.75,beers,mode,0.6717358316877111,0.6764417090184494,78
0.75,beers,scared,0.596077719080808,0.6110454249650352,89
0.75,flights,GroundTruth,0.6867564469705476,0.685750472640592,90
0.75,flights,Unified,0.6221557318426814,0.6259100413571729,90
0.75,flights,baran,0.6448652015939225,0.6444184415018948,90
0.75,flights,bigdansing,0.6453436081136682,0.6395248042391009,90
0.75,flights,boostclean,0.5926737007842491,0.5902688482950608,90
0.75,flights,holoclean,0.6573843374969777,0.6540954523401018,84
0.75,flights,horizon,0.6719322542329234,0.6866629135862914,90
0.75,flights,mode,0.750016545260013,0.7383704552686727,90
0.75,flights,scared,0.6020370160894621,0.5968588757381375,89
0.75,hospital,GroundTruth,0.612563516793317,0.6271420321340202,90
0.75,hospital,Unified,0.49671550273774245,0.5175078602082236,82
0.75,hospital,baran,0.5789709932356533,0.5981003721626138,90
0.75,hospital,bigdansing,0.5154036658046927,0.5239337342935431,88
0.75,hospital,boostclean,0.49219469951706624,0.5125415419205148,79
0.75,hospital,holoclean,0.509701091576793,0.5286470192486189,54
0.75,hospital,horizon,0.5515120265517481,0.5570794998563229,90
0.75,hospital,mode,0.48827131382680894,0.503485914605232,90
0.75,hospital,scared,0.5019823400945548,0.5183665115121892,79
0.75,rayyan,GroundTruth,0.7831183172027703,0.7603601801454791,90
0.75,rayyan,Unified,0.7391064779300701,0.7239483298253147,90
0.75,rayyan,baran,0.7582315333152261,0.7248831347534607,90
0.75,rayyan,bigdansing,0.8047927144945684,0.7724645033610351,90
0.75,rayyan,holoclean,0.6741277158585057,0.694741481329432,90
0.75,rayyan,horizon,0.7697126007238971,0.7473304199867208,89
0.75,rayyan,mode,0.6961656904271876,0.7151369462715432,90
0.75,rayyan,scared,0.748421277441504,0.7359067959478369,89
