alpha,task_name,cleaning_method,cluster_method,median_H,mean_H,n_rows
0.47,beers,baran,KMEANS,0.5737196737753947,0.5735741154827633,15
0.47,beers,baran,KMEANSNF,0.5543386044952626,0.5584239632214064,15
0.47,beers,baran,KMEANSPPS,0.5429062767726228,0.5414143033111779,15
0.47,beers,bigdansing,DBSCAN,0.46490261959454937,0.4549738944706541,15
0.47,beers,bigdansing,GMM,0.5403163122556928,0.5425999025225143,15
0.47,beers,bigdansing,HC,0.7551226473427343,0.7384850801647088,15
0.47,beers,bigdansing,KMEANS,0.557139236451504,0.5547375960817579,15
0.47,beers,bigdansing,KMEANSNF,0.5532745732819272,0.5497012490088372,15
0.47,beers,bigdansing,KMEANSPPS,0.5220450375265452,0.5265912086732032,15
0.47,beers,boostclean,DBSCAN,0.45758425315725054,0.45375311569870524,15
0.47,beers,boostclean,GMM,0.5442793455715795,0.5378071227567564,15
0.47,beers,boostclean,HC,0.7516012152232281,0.7346682464235147,15
0.47,beers,boostclean,KMEANS,0.5381085256005766,0.5372822953265396,15
0.47,beers,boostclean,KMEANSNF,0.5365416742135354,0.5314532502459177,15
0.47,beers,boostclean,KMEANSPPS,0.5166534300002854,0.5248837807964026,15
0.47,beers,holoclean,DBSCAN,0.5175743685387034,0.5101277378932493,13
0.47,beers,holoclean,GMM,0.5390824629453563,0.5399096838345219,13
0.47,beers,holoclean,HC,0.7475448202527644,0.7397665854036413,13
0.47,beers,holoclean,KMEANS,0.5417963295437475,0.5377288775032523,13
0.47,beers,holoclean,KMEANSNF,0.5371806963153596,0.5306079513590721,13
0.47,beers,holoclean,KMEANSPPS,0.5142761326341827,0.5214832161789774,13
0.47,beers,horizon,DBSCAN,0.48540863085346203,0.4783537850710872,15
0.47,beers,horizon,GMM,0.554503110253671,0.5548230703707908,15
0.47,beers,horizon,HC,0.7469405673423781,0.7512075234738973,15
0.47,beers,horizon,KMEANS,0.5495163297490788,0.5541044204261801,15
0.47,beers,horizon,KMEANSNF,0.547145907781074,0.5473193353975703,15
0.47,beers,horizon,KMEANSPPS,0.5338496623765018,0.5304135485508964,15
0.47,beers,mode,DBSCAN,0.5315210867839716,0.5335984955885715,13
0.47,beers,mode,GMM,0.6249945068533823,0.6153785831743339,13
0.47,beers,mode,HC,0.7613056935661399,0.7673254022396557,13
0.47,beers,mode,KMEANS,0.631449377046833,0.6288964129326365,13
0.47,beers,mode,KMEANSNF,0.604994354873362,0.5993173737483244,13
0.47,beers,mode,KMEANSPPS,0.6051462856399668,0.5913418521288022,13
0.47,beers,scared,DBSCAN,0.49198425345443053,0.4786208556648538,14
0.47,beers,scared,GMM,0.5576251942354008,0.5547608360582161,15
0.47,beers,scared,HC,0.740157246933272,0.730921910288492,15
0.47,beers,scared,KMEANS,0.5439040422069876,0.5511679898858318,15
0.47,beers,scared,KMEANSNF,0.5491661541925794,0.5489284486920625,15
