dataset,variant,seed,requested_error_rate,realized_error_rate,changed_cell_count,cleaning_state,clusterer,dirty_H_alpha,H_alpha,delta_H_vs_dirty,direction,valid_cluster_score,silhouette,davies_bouldin,n_rows_used,n_clusters,dirty_path,repaired_path,TP,FP,FN,EDR,precision,recall,F1
beers,original,43,0.2,0.2,3856,dirty,HC,0.6168653746752192,0.6168653746752192,0.0,zero,True,0.43169349949387514,0.8198757473345569,2011,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err20.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err20_dirty.csv,0,0,3856,0.0,,0.0,
beers,original,43,0.2,0.2,3856,mode_impute,KMEANS,0.5466162802367338,0.5715443595902484,0.0249280793535146,positive,True,0.3573380768696607,0.9945537918439076,2037,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err20.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err20_mode_impute.csv,206,854,3650,-0.16804979253112035,0.19433962264150945,0.05342323651452282,0.0838079739625712
beers,original,43,0.2,0.2,3856,mode_impute,HC,0.6168653746752192,0.5504765167786282,-0.06638885789659099,negative,True,0.34383564520160004,1.1077690918638097,2037,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err20.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err20_mode_impute.csv,206,854,3650,-0.16804979253112035,0.19433962264150945,0.05342323651452282,0.0838079739625712
beers,original,43,0.2,0.2,3856,winsor_mode,KMEANS,0.5466162802367338,0.49971957670705086,-0.04689670352968295,negative,True,0.28035150018182453,1.390469686079985,2037,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err20.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err20_winsor_mode.csv,402,1114,3454,-0.18464730290456433,0.26517150395778366,0.10425311203319503,0.1496649292628444
beers,original,43,0.2,0.2,3856,winsor_mode,HC,0.6168653746752192,0.5197573445289095,-0.09710803014630964,negative,True,0.3012221885299486,1.2671263624845797,2037,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err20.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err20_winsor_mode.csv,402,1114,3454,-0.18464730290456433,0.26517150395778366,0.10425311203319503,0.1496649292628444
beers,original,43,0.3,0.3,5784,dirty,KMEANS,0.5283775101236307,0.5283775101236307,0.0,zero,True,0.26916652211748027,1.1734767528117582,1881,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err30.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err30_dirty.csv,0,0,5784,0.0,,0.0,
beers,original,43,0.3,0.3,5784,dirty,HC,0.569083505593323,0.569083505593323,0.0,zero,True,0.34728910405287733,0.9990830876569801,1881,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err30.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err30_dirty.csv,0,0,5784,0.0,,0.0,
beers,original,43,0.3,0.3,5784,mode_impute,KMEANS,0.5283775101236307,0.5381570092045842,0.009779499080953546,positive,True,0.29329816384745905,1.1346601481508538,2410,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err30.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err30_mode_impute.csv,282,747,5502,-0.0803941908713693,0.27405247813411077,0.0487551867219917,0.08278291501541171
beers,original,43,0.3,0.3,5784,mode_impute,HC,0.569083505593323,0.5631405854582469,-0.005942920135076135,negative,True,0.33644013373912685,1.0233856911152839,2410,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err30.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err30_mode_impute.csv,282,747,5502,-0.0803941908713693,0.27405247813411077,0.0487551867219917,0.08278291501541171
beers,original,43,0.3,0.3,5784,winsor_mode,KMEANS,0.5283775101236307,0.47780762240512037,-0.05056988771851029,negative,True,0.23543300931996974,1.5132560192398958,2410,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err30.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err30_winsor_mode.csv,282,766,5502,-0.08367911479944674,0.26908396946564883,0.0487551867219917,0.08255269320843092
beers,original,43,0.3,0.3,5784,winsor_mode,HC,0.569083505593323,0.4965701173522308,-0.07251338824109221,negative,True,0.27497937661240823,1.4085801245244798,2410,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err30.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err30_winsor_mode.csv,282,766,5502,-0.08367911479944674,0.26908396946564883,0.0487551867219917,0.08255269320843092
beers,original,44,0.1,0.1,1928,dirty,KMEANS,0.5315557263774723,0.5315557263774723,0.0,zero,True,0.2692450870699151,1.152212438323155,2194,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err10.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err10_dirty.csv,0,0,1928,0.0,,0.0,
beers,original,44,0.1,0.1,1928,dirty,HC,0.5052018382331425,0.5052018382331425,0.0,zero,True,0.219402758754333,1.2802598396024027,2194,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err10.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err10_dirty.csv,0,0,1928,0.0,,0.0,
beers,original,44,0.1,0.1,1928,mode_impute,KMEANS,0.5315557263774723,0.5752531260383696,0.04369739966089736,positive,True,0.35608356011859393,0.9720614129493091,2242,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err10.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err10_mode_impute.csv,73,988,1855,-0.4745850622406639,0.06880301602262016,0.037863070539419084,0.04884576781532285
beers,original,44,0.1,0.1,1928,mode_impute,HC,0.5052018382331425,0.5257117169504698,0.020509878717327346,positive,True,0.3286389974697001,1.254136429490726,2242,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err10.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err10_mode_impute.csv,73,988,1855,-0.4745850622406639,0.06880301602262016,0.037863070539419084,0.04884576781532285
beers,original,44,0.1,0.1,1928,winsor_mode,KMEANS,0.5315557263774723,0.5033152528624744,-0.02824047351499792,negative,True,0.28583611753950844,1.369404712481576,2242,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err10.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err10_winsor_mode.csv,150,1256,1778,-0.5736514522821576,0.10668563300142248,0.07780082987551867,0.08998200359928013
beers,original,44,0.1,0.1,1928,winsor_mode,HC,0.5052018382331425,0.5067364910928646,0.0015346528597220965,positive,True,0.2801642205341251,1.337983883250693,2242,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err10.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err10_winsor_mode.csv,150,1256,1778,-0.5736514522821576,0.10668563300142248,0.07780082987551867,0.08998200359928013
beers,original,44,0.2,0.2,3856,dirty,KMEANS,0.5396534966022279,0.5396534966022279,0.0,zero,True,0.2815938456320875,1.1124135823677703,2050,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err20.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err20_dirty.csv,0,0,3856,0.0,,0.0,
beers,original,44,0.2,0.2,3856,dirty,HC,0.6017244400257531,0.6017244400257531,0.0,zero,True,0.40651327914030555,0.8746621922836504,2050,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err20.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err20_dirty.csv,0,0,3856,0.0,,0.0,
beers,original,44,0.2,0.2,3856,mode_impute,KMEANS,0.5396534966022279,0.5426847982392443,0.0030313016370163703,positive,True,0.2945487002917029,1.1067330186163489,2410,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err20.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err20_mode_impute.csv,161,884,3695,-0.1875,0.15406698564593302,0.04175311203319502,0.06570087737196491
beers,original,44,0.2,0.2,3856,mode_impute,HC,0.6017244400257531,0.5864334676211972,-0.015290972404555903,negative,True,0.38399620520509786,0.9359069137699715,2410,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err20.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err20_mode_impute.csv,161,884,3695,-0.1875,0.15406698564593302,0.04175311203319502,0.06570087737196491
beers,original,44,0.2,0.2,3856,winsor_mode,KMEANS,0.5396534966022279,0.4827025212165085,-0.05695097538571947,negative,True,0.24057085883402327,1.4791577837768535,2410,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err20.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err20_winsor_mode.csv,161,938,3695,-0.20150414937759337,0.1464968152866242,0.04175311203319502,0.06498486377396569
beers,original,44,0.2,0.2,3856,winsor_mode,HC,0.6017244400257531,0.5063935686347346,-0.09533087139101848,negative,True,0.2807423207037695,1.3411306858529202,2410,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err20.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err20_winsor_mode.csv,161,938,3695,-0.20150414937759337,0.1464968152866242,0.04175311203319502,0.06498486377396569
