alpha,task_name,cluster_method,median_H,mean_H,n_rows
0.47,flights,KMEANSPPS,0.5916270956768307,0.5910876795537313,134
0.47,hospital,DBSCAN,0.3886837572884901,0.3886408366180669,105
0.47,hospital,GMM,0.47712394677305825,0.4887378069449362,128
0.47,hospital,HC,0.6728820675681283,0.6789144389560081,128
0.47,hospital,KMEANS,0.4764314013481961,0.4832796511371308,127
0.47,hospital,KMEANSNF,0.48238989536220966,0.47872612910254064,127
0.47,hospital,KMEANSPPS,0.4638755112775259,0.4705889760797015,127
0.47,rayyan,DBSCAN,0.4956607688152924,0.49668409735548213,118
0.47,rayyan,GMM,0.7342511357577719,0.720710161531385,120
0.47,rayyan,HC,0.8196006728413248,0.8108300421797682,120
0.47,rayyan,KMEANS,0.7342511357577719,0.7188083360968441,120
0.47,rayyan,KMEANSNF,0.6797240085416638,0.6703506085451342,120
0.47,rayyan,KMEANSPPS,0.6980545605933861,0.6818470998531357,120
0.5,beers,DBSCAN,0.5050770265941662,0.49595835842602887,130
0.5,beers,GMM,0.5588666487508528,0.556256960047529,131
0.5,beers,HC,0.747544966961478,0.739890134146814,131
0.5,beers,KMEANS,0.5550216334471556,0.5604052638284485,131
0.5,beers,KMEANSNF,0.5509535957209576,0.5507526779140582,131
0.5,beers,KMEANSPPS,0.5353696654652104,0.5381775481213018,131
0.5,flights,DBSCAN,0.5427765357303357,0.5539459793592564,133
0.5,flights,GMM,0.5909116019359337,0.604925021253285,134
0.5,flights,HC,0.6643215116422646,0.6767679673921057,134
0.5,flights,KMEANS,0.6205370889029915,0.621485348455156,134
0.5,flights,KMEANSNF,0.5951361329262359,0.5910904552656725,134
0.5,flights,KMEANSPPS,0.5968794126735792,0.5962241132529686,134
0.5,hospital,DBSCAN,0.3934765290071691,0.39353422042158237,105
0.5,hospital,GMM,0.4820457435361939,0.49362012423680446,128
0.5,hospital,HC,0.6716138306230133,0.6791393126594839,128
0.5,hospital,KMEANS,0.48122188270459154,0.48835223615964696,127
0.5,hospital,KMEANSNF,0.48691344630585215,0.483544287401476,127
0.5,hospital,KMEANSPPS,0.4690767333663371,0.47594331853532507,127
0.5,rayyan,DBSCAN,0.5063380433708354,0.5066314080746299,118
0.5,rayyan,GMM,0.7375620319348976,0.7247796572449922,120
0.5,rayyan,HC,0.8207442379184122,0.811898648177981,120
0.5,rayyan,KMEANS,0.7375620319348976,0.7228677523092898,120
0.5,rayyan,KMEANSNF,0.6859329107078065,0.6757395809569169,120
0.5,rayyan,KMEANSPPS,0.7023183195668253,0.6866303877225649,120
0.75,beers,DBSCAN,0.5853921682691199,0.572114128275032,130
0.75,beers,GMM,0.5988013755997916,0.59869208098263,131
0.75,beers,HC,0.7449504544757258,0.7409655634500859,131
0.75,beers,KMEANS,0.5967205549715268,0.6028534502540095,131
0.75,beers,KMEANSNF,0.592111058420734,0.5939693846386719,131
0.75,beers,KMEANSPPS,0.582036923631151,0.5854933191141829,131
0.75,flights,DBSCAN,0.6025175267002223,0.6113789311498017,133
0.75,flights,GMM,0.6432592474884558,0.6513161033437601,134
0.75,flights,HC,0.6898630704848445,0.698680687859775,134
0.75,flights,KMEANS,0.6637854629912923,0.6662426327572665,134
0.75,flights,KMEANSNF,0.6403587764040146,0.6373933825019711,134
0.75,flights,KMEANSPPS,0.6435564522630324,0.642879119017301,134
0.75,hospital,DBSCAN,0.43593505527174786,0.4401765444969286,105
0.75,hospital,GMM,0.5317283555561942,0.5387173574447949,128
0.75,hospital,HC,0.6789670537687074,0.6812751094264964,128
0.75,hospital,KMEANS,0.5277033049011716,0.5354577104379727,127
0.75,hospital,KMEANSNF,0.5285152240002069,0.5280010193793181,127
0.75,hospital,KMEANSPPS,0.518788340768177,0.5261130746870348,127
0.75,rayyan,DBSCAN,0.6066072157811051,0.6085625288668239,118
0.75,rayyan,GMM,0.7663593573431087,0.76102751990883,120
0.75,rayyan,HC,0.8271187985671832,0.8210906626723655,120
0.75,rayyan,KMEANS,0.7663593573431087,0.7589933469012552,120
0.75,rayyan,KMEANSNF,0.736386325046053,0.7245269603068528,120
0.75,rayyan,KMEANSPPS,0.7408863956088114,0.7296602237411484,120
